Gene_name,Gene_ID,New_Gene_ID,p,padj,loglik_full,loglik_red,mean,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isMonotonous
 FucT6 ,FBgn0030326,FBgn0030327,0.624949105,0.999775474,-71.5192384,-73.26408052,7.427567243,0.329632392,0.949736616,0.736237966,0.999999999,FALSE
 Amun ,FBgn0030327,FBgn0030328,0.867663648,0.999775474,-120.8642474,-121.7961024,251.7385719,0.502745822,0.949736616,0.921439203,0.999999999,FALSE
 prtp ,FBgn0030328,FBgn0030329,0.831681236,0.999775474,-167.8110898,-168.8732783,1404.012867,0.660412216,0.949736616,0.73041697,0.999999999,FALSE
 Tango10 ,FBgn0030329,FBgn0030330,0.500280542,0.999775474,-154.1066671,-156.2813738,655.0549023,1,1,0.155677617,0.999999999,FALSE
 CG15221 ,FBgn0030330,FBgn0030331,0.736639145,0.999775474,-122.2631654,-123.6441052,206.3721613,0.680538021,0.949736616,0.574040385,0.999999999,FALSE
 CG9360 ,FBgn0030331,FBgn0030332,0.974240069,0.999775474,-33.8890911,-34.31036825,0.843161219,0.687960994,0.949736616,0.992488238,0.999999999,FALSE
 Karl ,FBgn0030332,FBgn0030334,0.30715835,0.999775474,-74.65743601,-77.65261454,10.26960166,0.23746484,0.949736616,0.37424901,0.999999999,FALSE
 CG1578 ,FBgn0030334,FBgn0030336,0.995412349,0.999775474,-188.3709768,-188.5694671,2909.390942,0.831322694,0.957365469,0.998796676,0.999999999,FALSE
 CG15741 ,FBgn0030336,FBgn0030338,0.764456048,0.999775474,-146.4343697,-147.7241904,374.0195592,1,1,0.425458542,0.999999999,FALSE
 Cyp28c1 ,FBgn0030338,FBgn0030339,0.94891083,0.999775474,-3.518531147,-4.097164102,0.087696825,0.723379312,0.949736616,0.916772297,0.999999999,FALSE
 CG15740 ,FBgn0030339,FBgn0030340,0.960072772,0.999775474,-25.95986255,-26.47508633,0.59576274,0.740111525,0.949736616,0.934285961,0.999999999,FALSE
 p24-1 ,FBgn0030340,FBgn0030341,0.719857627,0.999775474,-102.3373451,-103.7728713,51.39217614,0.264394943,0.949736616,0.975888251,0.999999999,FALSE
 CG10347 ,FBgn0030341,FBgn0030342,0.763193249,0.999775474,-140.1424778,-141.4364594,478.105325,0.583666794,0.949736616,0.679707791,0.999999999,FALSE
 ATP7 ,FBgn0030342,FBgn0030343,0.427969721,0.999775474,-126.1249079,-128.5758571,263.4915153,0.758555049,0.949736616,0.226140463,0.999999999,FALSE
 Nrd1 ,FBgn0030343,FBgn0030344,0.442556582,0.999775474,-132.151541,-134.5445207,300.4569102,0.974558832,1,0.192309763,0.999999999,FALSE
 CG1847 ,FBgn0030344,FBgn0030345,0.718921178,0.999775474,-143.995601,-145.4341682,694.1303102,0.511844207,0.949736616,0.673605061,0.999999999,FALSE
 BORCS5 ,FBgn0030345,FBgn0030346,0.590363563,0.999775474,-109.7301254,-111.5902161,125.5289429,0.187505599,0.949736616,0.945905691,0.999999999,FALSE
 CG15739 ,FBgn0030346,FBgn0030347,0.181994432,0.999775474,-90.8125699,-94.59428114,35.35488089,0.024811599,0.949736616,0.98219972,0.999999999,FALSE
 CG10352 ,FBgn0030347,FBgn0030348,0.983789227,0.999775474,-115.5450922,-115.8875224,89.26047558,0.765375289,0.949736616,0.985214239,0.999999999,FALSE
 CG10353 ,FBgn0030348,FBgn0030349,0.651701457,0.999775474,-67.23633163,-68.89332353,7.03017562,0.22597123,0.949736616,0.952477637,0.999999999,FALSE
 SelG ,FBgn0030349,FBgn0030350,0.739126159,0.999775474,-139.5076081,-140.8804395,537.0067065,0.691437079,0.949736616,0.570810813,0.999999999,FALSE
 CG1840 ,FBgn0030350,FBgn0030351,0.912595353,0.999775474,-153.5132083,-154.2652619,310.5836667,0.884608875,0.978343532,0.738917918,0.999999999,FALSE
 sicily ,FBgn0030351,FBgn0030352,0.955069278,0.999775474,-119.4797844,-120.0243039,104.1166217,1,1,0.73453876,0.999999999,FALSE
 Upf1 ,FBgn0030352,FBgn0030354,0.954407893,0.999775474,-113.5289843,-114.0772633,129.4336155,0.830161169,0.957365469,0.867477042,0.999999999,FALSE
 lncRNA:CR32661 ,FBgn0030354,FBgn0030356,0.292777008,0.999775474,-154.2060745,-157.2763766,984.3798654,0.152923297,0.949736616,0.496439258,0.999999999,FALSE
 CG10362 ,FBgn0030357,FBgn0030358,0.974874139,0.999775474,-18.91116608,-19.32771697,0.101036696,0.789584509,0.949736616,0.948254777,0.999999999,FALSE
 CG1806 ,FBgn0030359,FBgn0030360,0.875662098,0.999775474,-20.25968015,-21.16123526,0.202275468,0.51053259,0.949736616,0.927907614,0.999999999,FALSE
 CG1492 ,FBgn0030360,FBgn0030361,0.826223722,0.999775474,-60.55036356,-61.63164867,3.781240043,0.400787551,0.949736616,0.953527243,0.999999999,FALSE
 regucalcin ,FBgn0030361,FBgn0030362,0.612717313,0.999775474,-106.3324896,-108.1178414,77.98796752,0.701165161,0.949736616,0.413608073,0.999999999,FALSE
 Lsm12a ,FBgn0030362,FBgn0030364,0.837603684,0.999775474,-150.5212552,-151.5625484,335.1715236,0.360038488,0.949736616,0.997936822,0.999999999,FALSE
 Tango4 ,FBgn0030364,FBgn0030365,0.706620675,0.999775474,-140.9776533,-142.4561357,573.3277234,0.242377394,0.949736616,0.989014003,0.999999999,FALSE
 Usp7 ,FBgn0030365,FBgn0030366,0.506830448,0.999775474,-129.7148962,-131.8657993,272.127783,0.119561932,0.949736616,0.996719331,0.999999999,FALSE
 Cyp311a1 ,FBgn0030366,FBgn0030367,0.240211453,0.999775474,-165.6458079,-169.0189006,1387.342939,0.451583942,0.949736616,0.160710459,0.999999999,FALSE
 Cyp318a1 ,FBgn0030367,FBgn0030369,0.84721995,0.999775474,-29.10548794,-30.11243229,0.453586694,0.560456199,0.949736616,0.836059682,0.999999999,FALSE
 Uch-L5R ,FBgn0030369,FBgn0030370,0.724639903,0.999775474,-39.48352425,-40.90351376,1.176649874,0.490926529,0.949736616,0.701541293,0.999999999,FALSE
 moon ,FBgn0030370,FBgn0030373,0.943133634,0.999775474,-3.518557149,-4.12758421,1.74E-05,0.753823699,0.949736616,0.884231498,0.999999999,FALSE
 CG2750 ,FBgn0030373,FBgn0030376,0.516571181,0.999775474,-97.06786743,-99.18368375,26.3217987,0.149807318,0.949736616,0.93295878,0.999999999,FALSE
 CG1924 ,FBgn0030376,FBgn0030377,0.873491993,0.999775474,-14.38371044,-15.29354468,3.74E-05,0.795384482,0.950154515,0.714510779,0.999999999,FALSE
 CG15927 ,FBgn0030377,FBgn0030389,0.691254111,0.999775474,-27.33743464,-28.86575373,0.504200752,0.238515161,0.949736616,0.979188309,0.999999999,FALSE
 CG15731 ,FBgn0030389,FBgn0030390,0.730831422,0.999775474,-14.55759317,-15.95744694,0.087683614,0.610819958,0.949736616,0.611936196,0.999999999,FALSE
 Rab40 ,FBgn0030390,FBgn0030391,0.872584886,0.999775474,-25.10815181,-26.02143353,0.094697498,0.415286533,0.949736616,0.99527904,0.999999999,FALSE
 Cpr11A ,FBgn0030391,FBgn0030394,0.36364238,0.999775474,-120.5495419,-123.2737185,195.0443328,0.07436093,0.949736616,0.969016413,0.999999999,FALSE
 Mks1 ,FBgn0030394,FBgn0030395,0.474885122,0.999775474,-35.41686164,-37.68559914,1.043806619,0.442347711,0.949736616,0.406321378,0.999999999,FALSE
 CG2556 ,FBgn0030395,FBgn0030396,0.934311852,0.999775474,-20.0074431,-20.66044902,0.292135439,0.678928271,0.949736616,0.911911271,0.999999999,FALSE
 Cpr11B ,FBgn0030396,FBgn0030398,0.664558422,0.999775474,-81.0591806,-82.67423294,14.01279939,0.30474165,0.949736616,0.836626791,0.999999999,FALSE
 Pits ,FBgn0030398,FBgn0030400,0.838359465,0.999775474,-10.87257406,-11.91118712,0.138035843,0.822484899,0.956811764,0.639966999,0.999999999,FALSE
 CG1824 ,FBgn0030400,FBgn0030403,0.983777469,0.999775474,-135.4833469,-135.8258869,391.102363,0.709989555,0.949736616,0.999999844,0.999999999,FALSE
 CG1463 ,FBgn0030403,FBgn0030406,0.701093038,0.999775474,-134.7698028,-136.2662122,342.5512092,0.30075568,0.949736616,0.898739523,0.999999999,FALSE
 CG11085 ,FBgn0030407,FBgn0030408,0.909970046,0.999775474,-88.39505683,-89.15839905,23.08900318,0.59375186,0.949736616,0.922371111,0.999999999,FALSE
 CG15728 ,FBgn0030408,FBgn0030409,0.976348158,0.999775474,-14.83792416,-15.24325632,3.72E-05,0.683249791,0.949736616,0.997168038,0.999999999,FALSE
 Aven ,FBgn0030409,FBgn0030410,0.708731681,0.999775474,-79.96145095,-81.433086,11.64094646,0.408813364,0.949736616,0.763990139,0.999999999,FALSE
 CG2540 ,FBgn0030410,FBgn0030411,0.395607986,0.999775474,-98.69711407,-101.2816035,44.23138564,0.243495201,0.949736616,0.504207935,0.999999999,FALSE
 Tomosyn ,FBgn0030411,FBgn0030412,0.846560715,0.999775474,-104.5710705,-105.5803874,64.29764901,0.392937467,0.949736616,0.985165194,0.999999999,FALSE
 CG15725 ,FBgn0030412,FBgn0030417,0.757564623,0.999775474,-142.9021988,-144.2146943,636.5189411,0.311643881,0.949736616,0.961301757,0.999999999,FALSE
 CG4004 ,FBgn0030417,FBgn0030418,0.648722242,0.999775474,-56.05405673,-57.7207892,1.831356197,0.438552109,0.949736616,0.640293473,0.999999999,FALSE
 CG12717 ,FBgn0030418,FBgn0030420,0.493996957,0.999775474,-130.9747009,-133.1724096,244.9238001,1,1,0.165035978,0.999999999,FALSE
 Agpat1 ,FBgn0030420,FBgn0030421,0.924660965,0.999775474,-128.6365986,-129.3350079,250.1401047,0.726199265,0.949736616,0.859732173,0.999999999,FALSE
 Nep6 ,FBgn0030421,FBgn0030425,0.911301482,0.999775474,-62.06123326,-62.81886602,4.240978258,0.510805423,0.949736616,0.982018219,0.999999999,FALSE
 CG4661 ,FBgn0030425,FBgn0030429,0.758945832,0.999775474,-79.19966294,-80.50762007,8.147498982,0.382782435,0.949736616,0.874300124,0.999999999,FALSE
 CG4407 ,FBgn0030429,FBgn0030431,0.968127121,0.999775474,-28.53491458,-28.99914479,0.391469855,0.749845048,0.949736616,0.949833876,0.999999999,FALSE
 CG4404 ,FBgn0030431,FBgn0030432,0.55050011,0.999775474,-111.8323636,-113.8286003,99.96109445,1,1,0.247515115,0.999999999,FALSE
 mRpL49 ,FBgn0030432,FBgn0030433,0.839149366,0.999775474,-61.23644287,-62.27225139,4.055233878,0.640183614,0.949736616,0.757897145,0.999999999,FALSE
 Brms1 ,FBgn0030433,FBgn0030434,0.79286689,0.999775474,-132.4461375,-133.6414585,249.5299355,0.601760589,0.949736616,0.711440286,0.999999999,FALSE
 CG4645 ,FBgn0030434,FBgn0030435,0.637524802,0.999775474,-113.6605155,-115.3639473,125.5358619,0.195556502,0.949736616,0.986212148,0.999999999,FALSE
 hec ,FBgn0030435,FBgn0030437,0.915289624,0.999775474,-128.0952601,-128.8355952,313.7337304,0.581628032,0.949736616,0.94089822,0.999999999,FALSE
 CG15721 ,FBgn0030437,FBgn0030438,0.921657651,0.999775474,-18.72931947,-19.44137533,0.274661107,0.522728372,0.949736616,0.988447877,0.999999999,FALSE
 CG12716 ,FBgn0030438,FBgn0030439,0.815837113,0.999775474,-52.82680915,-53.9440598,3.277523222,0.373379659,0.949736616,0.966617783,0.999999999,FALSE
