Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031128,0.908522007,0.999775474,-11.02465777,-11.79417397,9,4,3.59E-05,0,1,0,0.880685604,0.975701028,0.732716275,0.999999999,FALSE,FALSE,FALSE
FBgn0031134,0.935926478,0.999775474,-3.518584192,-4.163734934,9,4,0.106429749,0,0,0,0.696111982,0.949736616,0.904212346,0.999999999,FALSE,FALSE,FALSE
FBgn0031139,0.966537548,0.999775474,-7.157598291,-7.632333243,9,4,3.98E-06,0,0,0,0.999979527,1,0.813485993,0.999999999,FALSE,FALSE,FALSE
FBgn0031142,0.864732377,0.999775474,-111.6039717,-112.5467897,9,4,41.54238142,0,0,0,0.612183071,0.949736616,0.824416976,0.999999999,FALSE,FALSE,FALSE
FBgn0031143,0.936049126,0.999775474,-138.8173046,-139.4618553,9,4,393.5288187,0,0,0,0.541270101,0.949736616,0.996024642,0.999999999,FALSE,FALSE,FALSE
FBgn0031144,0.817587588,0.999775474,-131.0590124,-132.1702342,9,4,332.2047156,0,0,0,0.422933354,0.949736616,0.918592022,0.999999999,FALSE,FALSE,FALSE
FBgn0031145,0.512787864,0.999775474,-166.4681787,-168.5975795,9,4,932.8301605,0,0,0,0.24723209,0.949736616,0.690616208,0.999999999,FALSE,FALSE,FALSE
FBgn0031146,0.401969599,0.999775474,-97.68630065,-100.2439591,9,4,29.81467139,0,0,0,0.093444465,0.949736616,0.945450027,0.999999999,FALSE,FALSE,FALSE
FBgn0031148,0.966809608,0.999775474,-154.5151376,-154.9880917,9,4,441.1934185,0,0,0,0.844454204,0.962286024,0.894649354,0.999999999,FALSE,FALSE,FALSE
FBgn0031149,0.937469298,0.999775474,-167.2546359,-167.8922037,9,4,1230.169111,0,0,0,0.528677906,0.949736616,0.999998001,0.999999999,FALSE,FALSE,FALSE
FBgn0031150,0.772379624,0.999775474,-151.5981903,-152.8618354,9,4,503.7538086,0,0,0,0.43073986,0.949736616,0.839207605,0.999999999,FALSE,FALSE,FALSE
FBgn0031155,0.926073584,0.999775474,-58.29547604,-58.98739246,9,4,2.14239662,0,0,0,0.661546369,0.949736616,0.906092973,0.999999999,FALSE,FALSE,FALSE
