gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
Ctr1A,FBgn0062413,4.00801345920529e-41,2.11088708851478e-40,-82.6919543804977,-182.342483104223,10,5,472.268148084854,0,0,0,9.49178008053412e-22,2.81193984885823e-20,4.53347969578705e-22,1.95351761436642e-21,TRUE,FALSE,FALSE
CG34054,FBgn0054054,6.5483893359092e-40,3.37384407089235e-39,-20.5141290609731,-117.328273647831,10,5,23.1742912162432,0,0,0,0.999870100005457,1,1.00428653086241e-41,5.53525367010213e-41,FALSE,TRUE,FALSE
aph-1,FBgn0031458,9.34083284252531e-37,4.71016464612447e-36,-45.8803940076893,-135.31393264867,10,5,27.5906320325228,0,0,0,0.404682270281781,1,3.80910936967342e-38,1.96251939263609e-37,FALSE,TRUE,FALSE
CG40298,FBgn0058298,3.53175540121626e-35,1.74380422935053e-34,-22.2043923468763,-107.942787308731,10,5,13.7392542349752,0,0,0,0.999928098568591,1,6.10763173994055e-37,3.07980579226789e-36,FALSE,TRUE,FALSE
Pka-R1,FBgn0259243,4.67198014806086e-33,2.25971284712331e-32,-72.7000188552181,-153.464888449558,10,5,232.819564340249,0,0,0,2.47881599760437e-15,4.04707922846566e-14,2.65262592888395e-20,1.08391783645775e-19,TRUE,FALSE,FALSE
Cul4,FBgn0033260,1.66711411103476e-32,7.90212088630476e-32,-73.6375237048146,-153.106331882042,10,5,230.930785143534,0,0,0,6.16988564400713e-13,8.12368276460938e-12,4.0623020975699e-22,1.78289925393346e-21,TRUE,FALSE,FALSE
neur,FBgn0002932,1.65206617127802e-29,7.67724867829199e-29,-48.3186278051631,-120.751512925562,10,5,43.0066391409913,0,0,0,0.681936675579742,1,4.93524780787312e-31,2.3870484295223e-30,FALSE,TRUE,FALSE
gish,FBgn0250823,2.04147578115133e-29,9.30441846409354e-29,-61.6739628355972,-133.890782081772,10,5,113.567976768829,0,0,0,4.17273812367174e-06,2.74705259808389e-05,9.13506987417024e-26,4.33002312035669e-25,TRUE,FALSE,FALSE
CG34043,FBgn0054043,3.11412648493219e-25,1.39254335269609e-24,-21.273989858114,-83.6415055676872,10,5,9.75230716210116,0,0,0,0.000239788773076707,0.00142074848047949,2.8644905296024e-23,1.28091368965239e-22,FALSE,TRUE,FALSE
Nup153,FBgn0061200,6.85839261209278e-24,3.01007231308517e-23,-113.007425384462,-172.205884701671,10,5,2478.02412198585,0,0,0,0.0224658853840226,0.0968075424729703,7.36207911192399e-24,3.42120146965879e-23,FALSE,TRUE,FALSE
